case_id,claim_id,vin,agent_status,root_cause_hypothesis,confidence_score,missing_evidence,recommended_next_action,evidence_packet_status,created_at
CASE0014,C0034,1NKD79LD9FMEES2HS,Evidence Packet Ready,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,In Progress,2026-03-02
CASE0015,C0035,1HT48F7Z3YXGLY38V,Evidence Packet Ready,Likely wheel seal leak. Installation and axle vent checks are required.,0.97,Diagnostic scan report; Failed part photos,Prepare evidence packet for supplier recovery review,Not Started,2026-04-28
CASE0016,C0017,1NKAV775YMDT7HE28,Draft Recommendation,Likely underboost caused by actuator issue or air path leak. Charge air system evidence required.,0.96,Failed part photos; Previous repair comparison; Technician test result,Create engineering observation and request full diagnostic evidence,Not Started,2026-03-24
CASE0017,C0040,1HTPYPT98TDF4UCAY,Human Review Required,Likely DEF doser crystallization or reductant pressure issue. Dosing command test required.,0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2025-10-13
CASE0018,C0078,1NKH1FV0NECRVFRG1,Escalated,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,Sent to Supplier,2025-05-06
CASE0019,C0038,4VGTJZES0VL5WAWGJ,Human Review Required,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2026-03-30
CASE0020,C0071,4VGDP31B17AZW13R8,Evidence Packet Ready,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.97,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,Not Started,2025-05-12
CASE0021,C0010,1HTS7E63N182SKAG4,Escalated,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.93,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2025-05-27
CASE0022,C0075,4VG73NGG4Z436DGD2,Escalated,Likely EGR valve sticking or EGR flow restriction. Cooler and harness evidence should be verified.,0.95,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2025-08-06
CASE0023,C0080,1HTRRAEDRECYE9SU8,Escalated,Likely underboost caused by actuator issue or air path leak. Charge air system evidence required.,0.95,Failed part photos; Previous repair comparison,Create engineering observation and request full diagnostic evidence,Not Started,2025-05-23
CASE0024,C0024,1HT85FC4XTBFRBUCM,Human Review Required,Likely EGR valve sticking or EGR flow restriction. Cooler and harness evidence should be verified.,0.93,Failed part photos; Previous repair comparison; Technician test result,Create engineering observation and request full diagnostic evidence,Ready,2026-03-01
CASE0025,C0028,1HTP826KTJST420RJ,Human Review Required,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2026-03-23
CASE0026,C0074,1HTWFSH3R155W4WDG,Draft Recommendation,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.93,Failed part photos,Prepare evidence packet for supplier recovery review,Ready,2025-07-04
CASE0027,C0006,4VG73NGG4Z436DGD2,Draft Recommendation,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2026-03-02
CASE0028,C0022,4VG73NGG4Z436DGD2,Escalated,Likely underboost caused by actuator issue or air path leak. Charge air system evidence required.,0.91,Failed part photos; Technician test result,Prepare evidence packet for supplier recovery review,In Progress,2026-03-25
CASE0029,C0027,3AKUAL4YUKPYGF1GZ,Draft Recommendation,Likely underboost caused by actuator issue or air path leak. Charge air system evidence required.,0.94,Failed part photos,Prepare evidence packet for supplier recovery review,Ready,2025-04-04
CASE0030,C0020,1HTXTPXST2JW6XEA6,Draft Recommendation,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.96,Failed part photos,Prepare evidence packet for supplier recovery review,In Progress,2026-01-23
CASE0031,C0070,3AKU764UXSFU5S61Y,Evidence Packet Ready,Likely DEF doser crystallization or reductant pressure issue. Dosing command test required.,0.97,Failed part photos,Prepare evidence packet for supplier recovery review,Sent to Supplier,2025-10-22
CASE0032,C0057,4VGW9W3X2VJN31MW2,Human Review Required,"Likely DPF restriction, but upstream causes must be ruled out before replacement.",0.95,Failed part photos,Prepare evidence packet for supplier recovery review,Not Started,2026-02-26
CASE0033,C0005,3AK5EVSUYXFJKR1KP,Evidence Packet Ready,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.92,None,Ask dealer for photos and diagnostic test result,In Progress,2026-04-27
CASE0034,C0029,1HTL1A1T6V48KNVPD,Evidence Packet Ready,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.9,None,Approve with observation,Ready,2025-04-29
CASE0035,C0015,1HT48F7Z3YXGLY38V,Draft Recommendation,Likely NOx sensor signal issue or SCR efficiency concern. DEF quality and SCR test required.,0.87,None,Approve with observation,Sent to Supplier,2026-05-03
